,listing-number,listing-status,title,Monetization,Price,Monthly Net Profit,Monthly Revenue,Monthly Multiple,Business Created
59,#61605,For Sale,Home,Amazon FBA,"$645,305.00","$22,252.00","$69,750.00",29x,2019
60,#66397,For Sale,"Religion & Spirituality, Health & Fitness",Amazon KDP,"$644,043.00","$16,948.00","$17,911.00",38x,2019
61,#61906,Pending Sold,"Information, Technology",Display Advertising,"$634,171.00","$13,212.00","$13,232.00",48x,2007
62,#66589,For Sale,"Business, Information",Affiliate,"$629,388.00","$15,735.00","$18,804.00",40x,2020
63,#66464,For Sale,Automotive,Display Advertising,"$605,280.00","$14,076.00","$14,125.00",43x,2021
64,#64818,For Sale,"Pet Care, Technology","Affiliate, Amazon Associates","$593,569.00","$15,220.00","$15,411.00",39x,2018
65,#59708,For Sale,"Books, Information","Amazon KDP, Other","$592,187.00","$17,417.00","$27,297.00",34x,2021
66,#61624,For Sale,Supplements,Amazon FBA,"$590,163.00","$15,132.00","$49,284.00",39x,2014
67,#63908,For Sale,"Kitchenware, Home, Culinary, Occasions & Gifts",Amazon FBA,"$588,847.00","$19,628.00","$279,208.00",30x,2017
68,#59568,For Sale,Bed & Bath,"Affiliate, Amazon Associates, Other","$565,103.00","$16,621.00","$19,874.00",34x,2020
69,#61046,Pending Sold,Health & Fitness,Amazon FBA,"$559,128.00","$15,531.00","$91,931.00",36x,2019
70,#63951,For Sale,Occasions & Gifts,eCommerce,"$537,673.00","$24,440.00","$99,642.00",22x,2021
71,#65423,For Sale,"Automotive, Electronics",Amazon FBA,"$520,716.00","$13,352.00","$38,094.00",39x,2015
72,#65583,For Sale,"Kitchenware, Home, Food & Beverages",Amazon FBA,"$500,006.00","$12,500.00","$67,879.00",40x,2017
73,#64574,For Sale,Technology,"Display Advertising, Amazon Associates","$493,212.00","$11,209.00","$11,493.00",44x,2019
74,#66180,For Sale,"Information, News & Education","Affiliate, Display Advertising","$491,992.00","$10,250.00","$10,294.00",48x,2020
75,#62733,For Sale,"Health & Fitness, Home, Bed & Bath, Technology","eCommerce, Amazon FBA","$491,560.00","$12,604.00","$39,563.00",39x,2021
76,#66761,For Sale,"Sports, Apparel & Accessories","Amazon FBA, eCommerce","$483,028.00","$10,501.00","$42,429.00",46x,2017
77,#65537,For Sale,"Art, Home, Design","Amazon FBA, eCommerce","$474,677.00","$12,829.00","$68,768.00",37x,2019
78,#65271,Pending Sold,"Jewelry, Apparel & Accessories","Display Advertising, Amazon Associates, Other, Amazon KDP","$468,809.00","$10,493.00","$10,596.00",45x,2018
79,#64485,For Sale,Apparel & Accessories,"Amazon Merch, Amazon KDP","$465,203.00","$11,630.00","$12,582.00",40x,2018
80,#62912,For Sale,Home,Amazon FBA,"$461,379.00","$13,981.00","$61,353.00",33x,2019
81,#60035,For Sale,"Books, Information",Amazon KDP,"$427,151.00","$12,944.00","$17,416.00",33x,2018
82,#65592,For Sale,"Apparel & Accessories, Home, Kitchenware, Occasions & Gifts","DropShipping, eCommerce","$419,427.00","$13,107.00","$53,897.00",32x,2020
83,#64882,For Sale,"Kitchenware, Home",Amazon FBA,"$415,156.00","$13,839.00","$69,534.00",30x,2018
84,#64915,For Sale,"Hobbies, Art","Digital Product, Display Advertising, Affiliate, Amazon Associates","$411,099.00","$8,937.00","$18,973.00",46x,2016
85,#65642,For Sale,"Electronics, Equipment, Hobbies, Digital Media, Art","Amazon Associates, Display Advertising","$407,547.00","$8,671.00","$8,749.00",47x,2019
86,#66456,For Sale,"Beauty, Personal Care",Amazon FBA,"$402,205.00","$9,576.00","$58,077.00",42x,2019
87,#62993,For Sale,"News & Education, Outdoors, Survival & Security","Digital Product, Affiliate, Amazon Associates, Display Advertising","$391,399.00","$10,036.00","$14,115.00",39x,2012
88,#65049,For Sale,"Equipment, Home",Amazon FBA,"$387,392.00","$10,195.00","$92,472.00",38x,2016
89,#61992,For Sale,"Home, Kitchenware, Bed & Bath",Amazon FBA,"$375,389.00","$8,938.00","$66,462.00",42x,2019
90,#64470,Pending Sold,"Baby Care, Children",Amazon FBA,"$373,973.00","$8,697.00","$84,774.00",43x,2018
91,#65110,Pending Sold,"Outdoors, Hobbies","Display Advertising, Amazon Associates","$350,135.00","$7,781.00","$7,956.00",45x,2020
92,#65817,For Sale,"Kitchenware, Home, Apparel & Accessories, Religion & Spirituality",Amazon FBA,"$348,442.00","$8,934.00","$48,004.00",39x,2016
93,#61819,For Sale,"Jewelry, Occasions & Gifts, Apparel & Accessories","Amazon FBA, eCommerce","$346,132.00","$10,489.00","$42,134.00",33x,2016
94,#63326,For Sale,"Apparel & Accessories, Books","Amazon Merch, Amazon KDP","$335,041.00","$8,172.00","$11,261.00",41x,2018
95,#64101,For Sale,"Equipment, Hobbies","Amazon Associates, Display Advertising","$329,757.00","$7,669.00","$7,825.00",43x,2013
96,#66667,For Sale,"Books, Romance",Amazon KDP,"$329,146.00","$7,837.00","$8,981.00",42x,2020
97,#58407,Pending Sold,"Home, Automotive","Lead Gen, Display Advertising","$328,807.00","$10,960.00","$11,021.00",30x,2019
98,#65588,For Sale,"Information, Medical, Employment",Display Advertising,"$323,810.00","$8,095.00","$8,792.00",40x,2016
99,#65791,For Sale,"Children, Occasions & Gifts, Sports",Amazon FBA,"$321,911.00","$11,497.00","$54,060.00",28x,2015
100,#64873,For Sale,"Information, Music, Children, Culinary",Amazon KDP,"$319,267.00","$8,869.00","$13,760.00",36x,2020
101,#61684,Pending Sold,Books,Amazon KDP,"$314,171.00","$14,281.00","$19,297.00",22x,2020
102,#63212,For Sale,"Apparel & Accessories, Sports",Amazon FBA,"$309,827.00","$7,746.00","$54,587.00",40x,2017
103,#60687,For Sale,"Survival & Security, Technology",DropShipping,"$299,018.00","$9,967.00","$97,187.00",30x,2017
104,#64015,For Sale,Home,Amazon FBA,"$288,232.00","$10,675.00","$64,520.00",27x,2021
105,#66710,For Sale,"Religion & Spirituality, Lifestyle","Display Advertising, Affiliate, Amazon Associates","$285,768.00","$6,646.00","$9,053.00",43x,2018
106,#63791,Pending Sold,"Supplements, Health & Fitness","Amazon FBA, eCommerce","$273,512.00","$6,216.00","$32,909.00",44x,2014
